id,gid,x,y,v_x,v_y,radius,time
28,1,4.516289,1.808880,-0.264444,-0.461578,0.200000,2.000000
29,1,4.141240,-1.065463,0.166245,-1.254866,0.200000,2.000000
30,1,7.432199,1.765142,-0.121757,-1.024930,0.200000,2.000000
31,1,7.164388,-6.397679,-0.086667,-1.349579,0.200000,2.000000
32,1,5.272146,1.218693,-0.258886,-0.538747,0.200000,2.000000
33,1,7.794202,3.540155,-0.122085,-1.130721,0.200000,2.000000
34,1,5.152908,4.772782,0.151174,-1.134202,0.200000,2.000000
35,1,8.808598,1.687125,-0.264735,-1.343582,0.200000,2.000000
36,1,6.151012,2.559436,-0.005827,-1.067826,0.200000,2.000000
37,1,8.230922,1.861166,-0.210495,-1.272596,0.200000,2.000000
38,1,8.767324,2.881466,-0.236017,-1.111580,0.200000,2.000000
39,1,6.820863,6.848062,0.015964,-1.262216,0.200000,2.000000
0,0,8.392174,0.002503,-0.985016,-0.206194,0.200000,2.050000
1,0,10.640026,0.263916,-1.165987,-0.212495,0.200000,2.050000
2,0,5.591480,-0.452532,-1.117425,-0.216494,0.200000,2.050000
3,0,4.784732,-1.091887,-1.135360,-0.324679,0.200000,2.050000
4,0,7.467105,0.420765,-0.880278,-0.169686,0.200000,2.050000
5,0,3.457502,0.118571,-1.295060,-0.055541,0.200000,2.050000
6,0,11.750099,-1.164309,-1.171956,-0.128067,0.200000,2.050000
7,0,9.020806,-0.444211,-1.095200,-0.225733,0.200000,2.050000
8,0,11.335482,-0.645249,-1.173694,-0.108476,0.200000,2.050000
9,0,6.275115,-0.613065,-0.816318,-0.423317,0.200000,2.050000
10,0,5.675212,0.118018,-0.946643,-0.255034,0.200000,2.050000
11,0,12.695462,-0.610927,-1.260518,0.052098,0.200000,2.050000
12,0,11.499483,0.522682,-1.117219,-0.029880,0.200000,2.050000
13,0,6.826113,-0.228524,-1.065784,-0.207669,0.200000,2.050000
14,0,4.950192,-0.561920,-1.473343,0.116649,0.200000,2.050000
15,0,11.541472,0.969182,-1.259212,-0.036785,0.200000,2.050000
16,0,4.416444,-0.180635,-1.503136,-0.287228,0.200000,2.050000
17,0,5.179149,0.538350,-0.921789,-0.158647,0.200000,2.050000
18,0,7.657792,-0.769090,-1.133268,-0.188167,0.200000,2.050000
19,0,5.546491,-1.232478,-1.101365,-0.205245,0.200000,2.050000
20,1,6.887000,5.685556,-0.273174,-1.238012,0.200000,2.050000
21,1,7.902523,-6.192633,-0.271085,-1.185112,0.200000,2.050000
22,1,6.582448,0.828655,-0.219531,-1.046970,0.200000,2.050000
23,1,8.485408,-5.075519,-0.370427,-1.228055,0.200000,2.050000
24,1,5.421870,3.552057,0.048182,-1.199286,0.200000,2.050000
25,1,8.048480,-4.084917,-0.223877,-1.263018,0.200000,2.050000
26,1,6.812524,4.538206,-0.017679,-1.229690,0.200000,2.050000
27,1,4.363752,0.469121,-0.644063,-0.506673,0.200000,2.050000
28,1,4.504084,1.782250,-0.244094,-0.532609,0.200000,2.050000
29,1,4.150702,-1.128122,0.189237,-1.253196,0.200000,2.050000
30,1,7.426481,1.712524,-0.114354,-1.052350,0.200000,2.050000
31,1,7.160191,-6.464903,-0.083927,-1.344486,0.200000,2.050000
32,1,5.258363,1.189474,-0.275648,-0.584391,0.200000,2.050000
33,1,7.788328,3.482784,-0.117489,-1.147426,0.200000,2.050000
34,1,5.160518,4.715293,0.152185,-1.149777,0.200000,2.050000
35,1,8.795691,1.620240,-0.258143,-1.337695,0.200000,2.050000
36,1,6.151188,2.504898,0.003523,-1.090747,0.200000,2.050000
37,1,8.220779,1.797434,-0.202864,-1.274642,0.200000,2.050000
38,1,8.757216,2.826770,-0.202161,-1.093917,0.200000,2.050000
39,1,6.821651,6.784763,0.015750,-1.265987,0.200000,2.050000
0,0,8.340708,-0.011900,-1.029305,-0.288055,0.200000,2.100000
1,0,10.581058,0.254244,-1.179370,-0.193439,0.200000,2.100000
2,0,5.538290,-0.466694,-1.063807,-0.283238,0.200000,2.100000
3,0,4.745120,-1.089936,-0.792257,0.039024,0.200000,2.100000
4,0,7.422745,0.413407,-0.887198,-0.147163,0.200000,2.100000
5,0,3.392725,0.115980,-1.295542,-0.051809,0.200000,2.100000
6,0,11.690877,-1.169622,-1.184447,-0.106246,0.200000,2.100000
7,0,8.966629,-0.454809,-1.083542,-0.211967,0.200000,2.100000
8,0,11.276171,-0.649874,-1.186223,-0.092498,0.200000,2.100000
9,0,6.231890,-0.631762,-0.864495,-0.373927,0.200000,2.100000
10,0,5.625849,0.106501,-0.987263,-0.230343,0.200000,2.100000
11,0,12.632243,-0.608358,-1.264389,0.051374,0.200000,2.100000
12,0,11.442712,0.521132,-1.135432,-0.031008,0.200000,2.100000
13,0,6.771918,-0.237774,-1.083889,-0.185016,0.200000,2.100000
14,0,4.877402,-0.556304,-1.455802,0.112314,0.200000,2.100000
15,0,11.478319,0.967146,-1.263068,-0.040711,0.200000,2.100000
16,0,4.342304,-0.193435,-1.482799,-0.256012,0.200000,2.100000
17,0,5.131177,0.530867,-0.959429,-0.149648,0.200000,2.100000
18,0,7.600307,-0.777164,-1.149702,-0.161466,0.200000,2.100000
19,0,5.490474,-1.240960,-1.120350,-0.169631,0.200000,2.100000
20,1,6.873530,5.623453,-0.269388,-1.242063,0.200000,2.100000
21,1,7.888825,-6.252288,-0.273962,-1.193095,0.200000,2.100000
22,1,6.572819,0.775046,-0.192569,-1.072177,0.200000,2.100000
23,1,8.466862,-5.137005,-0.370927,-1.229711,0.200000,2.100000
24,1,5.424790,3.491633,0.058400,-1.208484,0.200000,2.100000
25,1,8.037271,-4.148153,-0.224178,-1.264721,0.200000,2.100000
26,1,6.811812,4.476370,-0.014234,-1.236710,0.200000,2.100000
27,1,4.332769,0.444715,-0.619668,-0.488128,0.200000,2.100000
28,1,4.491728,1.752046,-0.247128,-0.604067,0.200000,2.100000
29,1,4.142587,-1.208561,-0.162283,-1.608771,0.200000,2.100000
30,1,7.421099,1.658673,-0.107649,-1.077029,0.200000,2.100000
31,1,7.156120,-6.531898,-0.081419,-1.339904,0.200000,2.100000
32,1,5.245355,1.157400,-0.260162,-0.641482,0.200000,2.100000
33,1,7.782661,3.424661,-0.113328,-1.162462,0.200000,2.100000
34,1,5.168172,4.657104,0.153092,-1.163795,0.200000,2.100000
35,1,8.783082,1.553620,-0.252182,-1.332401,0.200000,2.100000
36,1,6.153397,2.453833,0.044171,-1.021316,0.200000,2.100000
37,1,8.210981,1.733609,-0.195959,-1.276487,0.200000,2.100000
38,1,8.747237,2.771104,-0.199590,-1.113322,0.200000,2.100000
39,1,6.822429,6.721294,0.015556,-1.269381,0.200000,2.100000
0,0,8.289753,-0.025037,-1.019107,-0.262757,0.200000,2.150000
1,0,10.521047,0.243761,-1.200213,-0.209645,0.200000,2.150000
2,0,5.494298,-0.479652,-0.879830,-0.259169,0.200000,2.150000
3,0,4.693371,-1.098233,-1.034982,-0.165939,0.200000,2.150000
4,0,7.376325,0.406569,-0.928407,-0.136771,0.200000,2.150000
5,0,3.327926,0.113559,-1.295975,-0.048425,0.200000,2.150000
6,0,11.631093,-1.173948,-1.195684,-0.086534,0.200000,2.150000
7,0,8.915263,-0.464567,-1.027304,-0.195153,0.200000,2.150000
8,0,11.216204,-0.655094,-1.199333,-0.104395,0.200000,2.150000
9,0,6.186564,-0.648304,-0.906517,-0.330844,0.200000,2.150000
10,0,5.576667,0.098336,-0.983636,-0.163292,0.200000,2.150000
11,0,12.568849,-0.605822,-1.267873,0.050719,0.200000,2.150000
12,0,11.385121,0.519531,-1.151824,-0.032025,0.200000,2.150000
13,0,6.716645,-0.245969,-1.105473,-0.163889,0.200000,2.150000
14,0,4.805401,-0.550884,-1.440016,0.108393,0.200000,2.150000
15,0,11.414992,0.964933,-1.266538,-0.044256,0.200000,2.150000
16,0,4.269079,-0.204821,-1.464491,-0.227720,0.200000,2.150000
17,0,5.081512,0.523793,-0.993308,-0.141486,0.200000,2.150000
18,0,7.542082,-0.784029,-1.164485,-0.137317,0.200000,2.150000
19,0,5.432563,-1.248722,-1.158207,-0.155250,0.200000,2.150000
20,1,6.860232,5.561167,-0.265965,-1.245712,0.200000,2.150000
21,1,7.874997,-6.312301,-0.276565,-1.200277,0.200000,2.150000
22,1,6.564411,0.720303,-0.168162,-1.094857,0.200000,2.150000
23,1,8.448293,-5.198565,-0.371376,-1.231201,0.200000,2.150000
24,1,5.428172,3.430795,0.067636,-1.216759,0.200000,2.150000
25,1,8.026048,-4.211466,-0.224450,-1.266254,0.200000,2.150000
26,1,6.811256,4.414219,-0.011121,-1.243028,0.200000,2.150000
27,1,4.304985,0.426434,-0.555673,-0.365611,0.200000,2.150000
28,1,4.480358,1.720164,-0.227387,-0.637649,0.200000,2.150000
29,1,4.137294,-1.287137,-0.105871,-1.571527,0.200000,2.150000
30,1,7.416020,1.603711,-0.101576,-1.099241,0.200000,2.150000
31,1,7.152164,-6.598687,-0.079123,-1.335782,0.200000,2.150000
32,1,5.230509,1.121067,-0.296925,-0.726665,0.200000,2.150000
33,1,7.777183,3.365861,-0.109561,-1.175995,0.200000,2.150000
34,1,5.176399,4.601271,0.164538,-1.116650,0.200000,2.150000
35,1,8.770743,1.487238,-0.246792,-1.327639,0.200000,2.150000
36,1,6.155826,2.401388,0.048571,-1.048885,0.200000,2.150000
37,1,8.201496,1.669702,-0.189709,-1.278152,0.200000,2.150000
38,1,8.737374,2.714565,-0.197252,-1.130790,0.200000,2.150000
39,1,6.823198,6.657672,0.015381,-1.272435,0.200000,2.150000
0,0,8.238861,-0.037319,-1.017834,-0.245624,0.200000,2.200000
1,0,10.460538,0.234225,-1.210176,-0.190722,0.200000,2.200000
2,0,5.448213,-0.491018,-0.921711,-0.227317,0.200000,2.200000
3,0,4.636966,-1.103913,-1.128087,-0.113605,0.200000,2.200000
4,0,7.328050,0.400200,-0.965496,-0.127362,0.200000,2.200000
5,0,3.263108,0.111291,-1.296365,-0.045355,0.200000,2.200000
6,0,11.570803,-1.177385,-1.205793,-0.068727,0.200000,2.200000
7,0,8.863498,-0.473014,-1.035311,-0.168934,0.200000,2.200000
8,0,11.155739,-0.659529,-1.209294,-0.088708,0.200000,2.200000
9,0,6.139282,-0.662816,-0.945647,-0.290239,0.200000,2.200000
10,0,5.531749,0.092257,-0.898356,-0.121586,0.200000,2.200000
11,0,12.505299,-0.603316,-1.271008,0.050127,0.200000,2.200000
12,0,11.326792,0.517884,-1.166576,-0.032943,0.200000,2.200000
